I0707 15:02:07.236375  412186 options.go:263] external host was not specified, using 192.168.3.9
I0707 15:02:07.238469  412186 server.go:187] Version: v1.35.5
I0707 15:02:07.238522  412186 server.go:189] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
W0707 15:02:07.366970  412186 logging.go:55] [core] [Channel #1 SubChannel #3]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:33300->127.0.0.1:46225: use of closed network connection
W0707 15:02:07.367190  412186 logging.go:55] [core] [Channel #2 SubChannel #5]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:33310->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.368621  412186 logging.go:55] [core] [Channel #11 SubChannel #12]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.369615  412186 logging.go:55] [core] [Channel #15 SubChannel #16]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
I0707 15:02:07.376155  412186 shared_informer.go:370] "Waiting for caches to sync"
I0707 15:02:07.379316  412186 plugins.go:157] Loaded 12 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,TaintNodesByCondition,Priority,DefaultTolerationSeconds,DefaultStorageClass,StorageObjectInUseProtection,RuntimeClass,DefaultIngressClass,PodTopologyLabels,MutatingAdmissionPolicy,MutatingAdmissionWebhook.
I0707 15:02:07.379373  412186 plugins.go:160] Loaded 13 validating admission controller(s) successfully in the following order: LimitRanger,PodSecurity,Priority,PersistentVolumeClaimResize,RuntimeClass,CertificateApproval,CertificateSigning,ClusterTrustBundleAttest,CertificateSubjectRestriction,NodeDeclaredFeatureValidator,ValidatingAdmissionPolicy,ValidatingAdmissionWebhook,ResourceQuota.
I0707 15:02:07.379813  412186 instance.go:240] Using reconciler: lease
W0707 15:02:07.380658  412186 logging.go:55] [core] [Channel #25 SubChannel #26]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.382606  412186 logging.go:55] [core] [Channel #29 SubChannel #30]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
I0707 15:02:07.384863  412186 handler.go:304] Adding GroupVersion apiextensions.k8s.io v1 to ResourceManager
W0707 15:02:07.384890  412186 genericapiserver.go:819] Skipping API apiextensions.k8s.io/v1beta1 because it has no resources.
I0707 15:02:07.388037  412186 cidrallocator.go:198] starting ServiceCIDR Allocator Controller
W0707 15:02:07.388265  412186 logging.go:55] [core] [Channel #33 SubChannel #34]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.389035  412186 logging.go:55] [core] [Channel #37 SubChannel #38]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: failed to write client preface: write tcp 127.0.0.1:33406->127.0.0.1:46225: use of closed network connection"
W0707 15:02:07.389694  412186 logging.go:55] [core] [Channel #42 SubChannel #43]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.390551  412186 logging.go:55] [core] [Channel #46 SubChannel #47]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.391812  412186 logging.go:55] [core] [Channel #50 SubChannel #51]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.392594  412186 logging.go:55] [core] [Channel #54 SubChannel #55]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.393273  412186 logging.go:55] [core] [Channel #58 SubChannel #59]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: write tcp 127.0.0.1:33504->127.0.0.1:46225: use of closed network connection
W0707 15:02:07.394363  412186 logging.go:55] [core] [Channel #63 SubChannel #64]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.395454  412186 logging.go:55] [core] [Channel #67 SubChannel #68]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.396967  412186 logging.go:55] [core] [Channel #71 SubChannel #72]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.397767  412186 logging.go:55] [core] [Channel #75 SubChannel #76]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.398559  412186 logging.go:55] [core] [Channel #79 SubChannel #80]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.399736  412186 logging.go:55] [core] [Channel #83 SubChannel #84]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
W0707 15:02:07.401056  412186 logging.go:55] [core] [Channel #87 SubChannel #88]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:46225", ServerName: "127.0.0.1:46225", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:46225: operation was canceled"
